commntydst,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022,comp2023,comp2024,cenunits20,filed,approved,permitted,withdrawn,inactive,Shape_Area,Shape_Length
101,246,455,"1,598",503,438,-11,850,"1,174","1,257","1,166",431,382,840,27,596,870,"41,977","3,608",33,"5,347",653,951,"41,697,039.3247","69,433.3951672"
102,327,231,-27,-94,-37,-10,212,466,108,111,279,342,245,186,9,10,"58,418",612,-42,523,241,300,"37,724,014.6449","35,009.7167971"
103,311,596,122,70,170,422,56,290,656,"1,432",449,315,181,386,539,291,"82,589","1,897",100,"1,368",483,869,"46,878,836.5547","30,505.6996868"
104,277,"1,877","1,987",298,"2,496",731,"1,652","1,706","2,110","2,169",701,287,472,"2,254",382,"1,364","84,357","2,420",489,"1,120",329,"2,094","49,309,977.2306","67,545.6169564"
105,235,527,320,-13,153,277,535,543,731,"1,077",567,272,237,472,558,280,"42,323","4,586",172,"1,877","3,309","1,512","43,790,039.7676","35,288.334286"
106,-17,104,142,-119,-86,284,162,"1,275",575,704,703,-12,344,709,254,236,"99,371","2,266",960,"2,577",985,372,"38,730,043.216","42,833.689286"
107,-17,"1,219",48,361,62,249,303,837,316,245,"1,305",2,282,129,116,239,"126,397",227,-51,211,972,156,"53,152,657.7889","39,863.2748644"
108,337,263,125,-70,-118,-362,135,221,240,3,-11,328,159,20,-43,681,"138,922",297,-86,911,-229,105,"55,215,032.0876","53,753.3506745"
109,287,87,97,27,9,165,-20,580,16,2,263,275,103,10,503,210,"44,900",46,211,274,448,344,"41,894,977.3028","34,959.0732909"
110,647,575,628,85,67,335,22,316,107,100,298,712,559,101,519,258,"61,629",426,327,466,139,632,"39,073,776.9725","35,890.2517383"
111,786,983,609,497,270,622,265,96,512,316,323,800,503,530,521,476,"54,738",785,49,"1,809","1,789","1,572","66,160,839.2963","59,541.767352"
112,12,32,129,-37,10,74,76,61,41,121,114,12,19,90,172,764,"74,722",685,93,250,219,"1,005","77,963,565.8563","54,703.6723606"
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,"38,312,378.5831","32,721.097627"
201,792,571,877,476,14,284,319,275,298,"1,094",525,812,"1,005","1,212","2,921",799,"36,896","1,420",557,"2,777",997,228,"60,399,803.2952","33,341.8760694"
202,446,220,305,17,115,-1,0,107,78,78,400,529,280,422,125,226,"19,240",320,154,"1,023",97,430,"61,808,976.0651","48,501.8416345"
203,342,"1,294",715,207,599,276,418,658,612,460,863,744,289,538,763,440,"34,360","1,374",397,"1,525",818,102,"44,797,246.2174","33,499.6120026"
204,250,453,39,139,49,283,85,129,351,538,283,250,523,446,"2,226",630,"54,022","1,676",323,"2,607",499,277,"55,522,142.9767","31,358.4545105"
205,306,297,200,152,-9,298,203,7,216,187,171,328,148,827,940,"1,546","45,814","1,157",575,"2,133","1,526",442,"38,316,983.6437","29,443.047366"
206,588,224,375,145,10,195,397,179,274,"1,125",818,584,349,467,814,937,"32,821","1,380",279,"1,441","1,151",560,"42,662,438.7554","35,875.1740496"
207,257,478,57,209,149,136,187,194,235,702,200,491,521,360,962,"1,490","53,180","2,586",298,"1,296","1,126",188,"53,307,889.6368","44,800.8494088"
208,45,27,26,251,70,1,-67,208,126,92,167,49,106,296,197,548,"45,144",376,88,"1,114",420,191,"92,076,275.5025","47,810.4841413"
209,199,199,133,48,78,30,319,250,137,47,549,380,634,87,642,269,"68,576",455,255,"1,439","1,184",272,"114,286,070.392","62,242.078477"
210,8,120,220,24,96,20,255,45,27,53,52,24,63,19,63,84,"54,738",249,51,358,152,319,"178,960,089.754","268,204.31241"
211,21,69,42,22,35,14,18,-6,198,31,62,43,57,139,146,238,"44,864",750,82,825,149,280,"100,314,479.466","45,751.5385169"
212,140,250,344,174,264,203,265,347,94,218,76,197,388,364,654,849,"60,856",783,110,"1,104",239,369,"154,906,287.571","84,115.7970354"
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,"50,565,041.6084","32,824.8378966"
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,"31,430,888.0329","28,402.4946381"
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"92,963,915.5357","122,109.909742"
301,"1,057","3,044","1,351","1,199","1,877","1,425","1,628","1,719","2,454","2,563","2,063","1,644",746,"1,962","2,544","3,495","89,974","3,552",251,"3,970","3,524","2,156","131,695,537.942","69,237.8851852"
302,"1,427","1,080",846,526,640,"1,288","1,802","2,314","2,668","1,442","1,606","1,543","2,689","1,293","1,695","1,770","66,998","1,246",80,"4,174","1,747",444,"79,320,072.9229","73,413.3394305"
