PERMIT_NBR,PRIMARY_ADDRESS,ZIP_CODE,CD,PIN_NBR,APN,ZONE,APC,CPA,CNC,HL,CT,PERMIT_GROUP,PERMIT_TYPE,PERMIT_SUB_TYPE,USE_CODE,USE_DESC,SUBMITTED_DATE,ISSUE_DATE,COFO_DATE,DU_CHANGED,ADU_CHANGED,JUNIOR_ADU,SQUARE_FOOTAGE,STATUS_DESC,STATUS_DATE,VALUATION,CONSTRUCTION,HEIGHT,TYPE_LAT_LON,LAT,LON,WORK_DESC,EV,Solar,Business Unit,REFRESH_TIME,GEOLOCATION
21030-10000-01398,290 N STRADA CORTA ROAD,90077,5,141B153   241,4362013008,RE20-1-HCR,West Los Angeles,Bel Air - Beverly Crest,Bel Air-Beverly Crest,YES,2621.00,Building,Grading,1 or 2 Family Dwelling,70,Grading - Hillside,01/25/2021,01/17/2023,,,,,,Issued,01/17/2023,4141,,,ADDRESS,34.07989,-118.44119,"SITE GRADING FOR NEW SFD W BASEMENT, RETAINING WALL BACKFILL, AND DETACHED DECKBoard File 220033 APPROVED FOR AN EXPORT OF 3,500 CUBIC YARDS",N,N,Regular Plan Check,03/16/2026,POINT (-118.44119 34.07989)
24016-20000-15035,11675 W DARLINGTON AVE,90049,11,129B145    71,4265006001,[Q]R3-1,West Los Angeles,Brentwood - Pacific Palisades,,,2643.03,Building,Bldg-Alter/Repair,Apartment,5,Apartment,,05/07/2024,,,,,,Permit Finaled,11/21/2024,14000,,,ADDRESS,34.05309,-118.46384,"Window ( 44 ) change-out (same size & type) for residential buildings. Dual glazing, labeled and certified by National Fenestration Rating Council (NFRC), is required for doors and windows replaced in all residential buildings, three stories or less, per Section 150.2(b) 1B of Title 24.",N,N,Express Permit,03/16/2026,POINT (-118.46384 34.05309)
23016-10000-41857,17260 W GRESHAM ST,91325,12,195B133   344,2768016016,RA-1,North Valley,Northridge,Northridge South,,1151.01,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Dwelling - Single Family,,11/29/2023,,,,,,Permit Finaled,03/08/2024,25000,,,ADDRESS,34.23029,-118.51077,"1 bathroom remodel for residential buildings (no structural changes)Combined with Mechanical, Electrical, Plumbing",N,N,Express Permit,03/16/2026,POINT (-118.51077 34.23029)
24016-90000-11601,19838 W STRATHERN ST,91306,3,189B113   486,2106013031,R1-1,South Valley,Canoga Park-West Hills-Winnetka-Woodland Hills,Winnetka,,1341.01,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Dwelling - Single Family,,04/08/2024,,,,,,Permit Finaled,04/17/2024,2400,,,ADDRESS,34.21549,-118.56587,"Re-roof with Class A or B roof covering material weighing less than 6 pounds per sq. ft. over existing solid sheathing 12 Squares. Class A roof covering is required within Very High Fire Hazard Severity Zone (VHFHSZ). For residential roof replacement > 50% of the total roof area, apply Cool Roof Product labeled and certified by Cool Roof Rating Council (CRRC). Cool Roof may be required for non-residential buildings per Title 24, Part 6, Section 141.0(b)2B.",N,N,Express Permit,03/16/2026,POINT (-118.56587 34.21549)
23016-20000-31697,3942 W MARATHON ST,90029,13,142-5A201 197,5539019021,RD1.5-1XL,Central,Hollywood,East Hollywood,YES,1914.20,Building,Bldg-Alter/Repair,Apartment,5,Apartment,,09/15/2023,,,,,,Permit Finaled,10/06/2023,5000,,,ADDRESS,34.0845,-118.28597,"Re-roof with Class A or B roof covering material weighing less than 6 pounds per sq. ft. over existing solid sheathing (19 ) Squares.  Class A roof covering is required within Very High Fire Hazard Severity Zone (VHFHSZ).  For residential roof replacement > 50% of the total roof area, apply Cool Roof Product labeled and certified by Cool Roofing Rating Council (CRRC).  Cool Roof may be required for non-residential buildings per Title 24, Part 6, Section 141.0(b)2B.",N,N,Express Permit,03/16/2026,POINT (-118.28597 34.0845)
22014-20000-02116,13713 N NORRIS AVE,91342,7,228B141   407,2603017010,RA-1-K,North Valley,Sylmar,Sylmar,,1065.10,Building,Bldg-Addition,1 or 2 Family Dwelling,1,Accessory Dwelling Unit,05/02/2022,02/14/2023,04/03/2024,,1,,946,CofO Issued,04/03/2024,100000,Type V-B Construction,23.67,BUILDING,34.31768498,-118.47725012,"NEW IRR. SHAPED 19'-6"" x 30' ADDITION TO (E) DET. GARAGE TO ENLARGE GARAGE, ADD ONE NEW PARKING SPACE AND STORAGE AREA, AND ADD NEW 2ND FLOOR 23"" x 44' ACCESSORY DWELLING UNIT OVER GARAGE PER LAMC 12.22 A.33 (c)-(d)",N,N,Regular Plan Check,03/16/2026,POINT (-118.47725012 34.31768498)
22014-20001-06313,109 N VISTA ST,90036,5,138B181   794,5512008015,R1-1-HPOZ,Central,Wilshire,Mid City West,,2140.00,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Accessory Dwelling Unit,10/20/2023,10/20/2023,,,,,,Permit Finaled,06/14/2024,5000,,,PIN,34.07398186,-118.35250724,SUPPL. PERMIT TO 22014-20000-06313 TO CREATE A LAUNDRY AND REVISE THE STRUCUTRAL DETAILS.,N,N,Plan Check at Counter,03/16/2026,POINT (-118.35250724 34.07398186)
23030-20000-05553,1511 W OAK GROVE DR,90041,14,159A227    52,5689029016,R1-1,East Los Angeles,Northeast Los Angeles,Eagle Rock,,1832.22,Building,Grading,1 or 2 Family Dwelling,70,Grading - Hillside,09/06/2023,12/12/2023,,,,,,Permit Finaled,04/03/2024,57,,,ADDRESS,34.13136,-118.19898,GRADING EXCAVATION FOR THE NEW POOL AND SPA,N,N,Plan Check at Counter,03/16/2026,POINT (-118.19898 34.13136)
24016-90000-23621,14612 W MARGATE ST,91411,4,172-5A151  75,2249009009,R1-1,South Valley,Van Nuys - North Sherman Oaks,Sherman Oaks,,1288.02,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Dwelling - Single Family,,07/24/2024,,,,,,Permit Finaled,08/09/2024,12000,,,ADDRESS,34.16745,-118.45156,"Add sill plate anchor bolts, add plywood to cripple walls (if existing), and replace foundation per L.A. City Standard Plan #1 (Earthquake hazard reduction per Chapter 92 of the Los Angeles Building Code). (Houses, residential buildings up to 3 stories and up to 4 units).",N,N,Express Permit,03/16/2026,POINT (-118.45156 34.16745)
23016-10000-05300,2538 W RESERVOIR ST,90026,13,141A205   106,5402016009,RD3-1VL-O,East Los Angeles,Silver Lake - Echo Park - Elysian Valley,Silver Lake,YES,1956.00,Building,Bldg-Alter/Repair,1 or 2 Family Dwelling,1,Dwelling - Single Family,,02/23/2023,,,,,,Permit Finaled,04/08/2024,1000,,,ADDRESS,34.08175,-118.2692,1 Kitchen remodel for residential buildings (no structural changes). Combined with Plumbing.Replacement of damaged framing members (less than 10% of replacement cost of building) for houses and duplexes (not including decks).Replace existing siding with new stucco for single family dwellings and duplex only.,N,N,Express Permit,03/16/2026,POINT (-118.2692 34.08175)
23016-10000-42890,6900 S VERMONT AVE,90044,8,102B197   669,6013005806,C2-1-CPIO,South Los Angeles,South Los Angeles,Empowerment Congress Central Area,,2375.00,Building,Bldg-Alter/Repair,Commercial,15,Telephone Exchange,12/05/2023,01/23/2024,,,,,,Issued,01/23/2024,50000,,,ADDRESS,33.97704,-118.29132,PROPOSED FOUNDATION REPAIR AND PIPE SUPPORTS FOR RUPTURED PIPES.,N,N,Expanded Counter Plan Check,03/16/2026,POINT (-118.29132 33.97704)
