OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Are,Shape__Len,geo_text,census_Tract,pharm_desert_2020,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,HAI_CY
1,06,037,600601,06037600601,6006.01,Census Tract 6006.01,G5020,S,646831,0,+33.9418498,-118.3220544,942220.226562,3878.25603722,A06037600601,600601,,0,US,1,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
2,06,111,008304,06111008304,83.04,Census Tract 83.04,G5020,S,3564268,32835,+34.2669104,-118.6580693,5279869.17188,13131.5337998,A06111008304,8304,,1,US,2,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
3,06,037,540501,06037540501,5405.01,Census Tract 5405.01,G5020,S,1452738,0,+33.9247081,-118.2193041,2115310.24219,7006.0154359,A06037540501,540501,,2,US,3,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
4,06,037,532700,06037532700,5327,Census Tract 5327,G5020,S,771359,0,+33.9852598,-118.2413457,1124754.61328,5015.31417045,A06037532700,532700,,3,US,4,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
5,06,037,300701,06037300701,3007.01,Census Tract 3007.01,G5020,S,13349197,59420,+34.2038347,-118.2517672,19651504.2031,23839.0072396,A06037300701,300701,,4,US,5,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
6,06,037,800101,06037800101,8001.01,Census Tract 8001.01,G5020,S,8096238,0,+34.1340646,-118.6268305,11846596.9648,20563.4355911,A06037800101,800101,,5,US,6,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
7,06,037,544002,06037544002,5440.02,Census Tract 5440.02,G5020,S,1601444,0,+33.8304307,-118.2159639,2326741.52344,7437.34824849,A06037544002,544002,,6,US,7,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
8,06,037,480802,06037480802,4808.02,Census Tract 4808.02,G5020,S,1713243,0,+34.0820626,-118.1526495,2503801.65625,7012.41160814,A06037480802,480802,,7,US,8,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
9,06,037,701201,06037701201,7012.01,Census Tract 7012.01,G5020,S,1941997,0,+34.0412036,-118.4943488,2835403.57422,6800.43022993,A06037701201,701201,,8,US,9,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
10,06,037,670602,06037670602,6706.02,Census Tract 6706.02,G5020,S,14244730,7255809,+33.7435400,-118.3696354,31173041.4883,37959.2462647,A06037670602,670602,,9,US,10,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
11,06,037,650200,06037650200,6502,Census Tract 6502,G5020,S,2424179,0,+33.8628071,-118.3318539,3524740.10156,11087.713224,A06037650200,650200,,10,US,11,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
12,06,037,535606,06037535606,5356.06,Census Tract 5356.06,G5020,S,185791,0,+33.9476557,-118.2252846,270672.484375,2760.01256001,A06037535606,535606,,11,US,12,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
13,06,037,702501,06037702501,7025.01,Census Tract 7025.01,G5020,S,1333945,9889,+34.0146198,-118.3963576,1960855.35547,5939.83996148,A06037702501,702501,,12,US,13,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
14,06,037,601401,06037601401,6014.01,Census Tract 6014.01,G5020,S,1573101,0,+33.9590575,-118.3700611,2292398.14844,6727.65713146,A06037601401,601401,,13,US,14,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
15,06,037,702801,06037702801,7028.01,Census Tract 7028.01,G5020,S,1194168,0,+34.0114681,-118.4101859,1742333.68359,5513.28759069,A06037702801,702801,,14,US,15,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
16,06,037,300400,06037300400,3004,Census Tract 3004,G5020,S,2003274,4708,+34.2284548,-118.2563999,2944711.32812,8803.05320611,A06037300400,300400,,15,US,16,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
17,06,037,670001,06037670001,6700.01,Census Tract 6700.01,G5020,S,939601,0,+33.8038640,-118.3166168,1364308.98047,6084.41420854,A06037670001,670001,,16,US,17,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
18,06,037,920312,06037920312,9203.12,Census Tract 9203.12,G5020,S,12756210,4780,+34.3629821,-118.5258812,18771265.6641,21452.2176828,A06037920312,920312,,17,US,18,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
19,06,037,302104,06037302104,3021.04,Census Tract 3021.04,G5020,S,569424,0,+34.1453999,-118.2320955,833415.746094,4525.52544172,A06037302104,302104,,18,US,19,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
20,06,037,531202,06037531202,5312.02,Census Tract 5312.02,G5020,S,447318,0,+34.0257387,-118.1859280,652872.148438,3891.18670908,A06037531202,531202,,19,US,20,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
21,06,037,670100,06037670100,6701,Census Tract 6701,G5020,S,1451232,0,+33.7847663,-118.3159883,2106265.80469,9210.58990305,A06037670100,670100,,20,US,21,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
22,06,037,543400,06037543400,5434,Census Tract 5434,G5020,S,2923902,180427,+33.8526247,-118.2687215,4512983.03906,9952.83953735,A06037543400,543400,,21,US,22,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
23,06,037,543604,06037543604,5436.04,Census Tract 5436.04,G5020,S,2603075,24156,+33.8095428,-118.2795060,3815148.23828,8304.04580517,A06037543604,543604,,22,US,23,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
24,06,037,700101,06037700101,7001.01,Census Tract 7001.01,G5020,S,674088,0,+34.0925747,-118.3524483,985383.886719,5012.90317199,A06037700101,700101,,23,US,24,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
25,06,037,535607,06037535607,5356.07,Census Tract 5356.07,G5020,S,941321,0,+33.9419438,-118.2211115,1371193.10938,5345.0412179,A06037535607,535607,,24,US,25,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
26,06,037,301000,06037301000,3010,Census Tract 3010,G5020,S,2048659,21482,+34.1564802,-118.2309561,3030691.14062,7786.80361604,A06037301000,301000,,25,US,26,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
27,06,037,572600,06037572600,5726,Census Tract 5726,G5020,S,1223342,49301,+33.8071157,-118.2140846,1848066.73438,5774.0288289,A06037572600,572600,,26,US,27,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
28,06,037,701701,06037701701,7017.01,Census Tract 7017.01,G5020,S,656547,0,+34.0323370,-118.4722531,958391.183594,4832.13763556,A06037701701,701701,,27,US,28,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
29,06,037,701602,06037701602,7016.02,Census Tract 7016.02,G5020,S,660538,0,+34.0350094,-118.4754273,964286.640625,4835.19522206,A06037701602,701602,,28,US,29,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
30,06,037,600704,06037600704,6007.04,Census Tract 6007.04,G5020,S,951773,12266,+33.9545341,-118.3237463,1404756.48438,4854.83870483,A06037600704,600704,,29,US,30,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
31,06,037,701601,06037701601,7016.01,Census Tract 7016.01,G5020,S,1229471,3025,+34.0389491,-118.4799628,1799423.44531,6022.52316864,A06037701601,701601,,30,US,31,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
32,06,037,601302,06037601302,6013.02,Census Tract 6013.02,G5020,S,1219665,0,+33.9692983,-118.3644406,1777774.21484,7237.18148674,A06037601302,601302,,31,US,32,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
33,06,037,620102,06037620102,6201.02,Census Tract 6201.02,G5020,S,871913,0,+33.9201935,-118.4180630,1269443.45703,5884.15800804,A06037620102,620102,,32,US,33,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
