"SRNumber","CreatedDate","RequestType","Status","Address","Latitude","Longitude","CD","NCName"
"1-3202602011","2023-01-01T00:00:46.000","Bulky Items","Closed","10835 N SHERMAN GROVE AVE, 91040","34.2660591423","-118.320305314","7","Sunland-Tujunga"
"1-3202603151","2023-01-01T00:10:19.000","Bulky Items","Closed","233 S ALEXANDRIA AVE, 90004","34.0701510842","-118.298104315","10","Wilshire Center-Koreatown"
"1-3202610701","2023-01-01T00:35:51.000","Bulky Items","Closed","6506 N BEEMAN AVE, 91606","34.1887276605","-118.407156325","2","Greater Valley Glen"
"1-3202609221","2023-01-01T00:50:22.000","Bulky Items","Closed","329 S CLOVERDALE AVE, 90036","34.0680772645","-118.346341594","5","Mid-City West"
"1-3202616971","2023-01-01T01:01:53.000","Bulky Items","Closed","18839 W CELTIC ST, 91326","34.2689986835","-118.54415203","12","Northridge West"
"1-3202617661","2023-01-01T01:07:17.000","Graffiti Removal","Cancelled","SHERMAN WAY AT VALJEAN AVE, 91406","34.2010392819","-118.4858854","6","Lake Balboa"
"1-3202622321","2023-01-01T01:10:14.000","Graffiti Removal","Cancelled","LINDLEY AVE AT SATICOY ST, 91335","34.2083834464","-118.527370975","4","Reseda"
"1-3202621731","2023-01-01T01:17:27.000","Graffiti Removal","Closed","545 S MATHEWS ST, 90033","34.0375099701","-118.212551882","14","Boyle Heights"
"1-3202624411","2023-01-01T01:21:13.000","Bulky Items","Closed","626 W 15TH ST, 90731","33.7306898279","-118.290819583","15","Central San Pedro"
"1-3202625491","2023-01-01T01:30:59.000","Graffiti Removal","Closed","14094 W VAN NUYS BLVD, 91331","34.2525278195","-118.440351915","6","Arleta"
"1-3202631351","2023-01-01T01:45:12.000","Bulky Items","Closed","1331 S LELAND ST, 90731","33.731897665","-118.301368737","15","Northwest San Pedro"
"1-3202630801","2023-01-01T01:45:15.000","Bulky Items","Closed","2810 N HOLLYRIDGE DR, 90068","34.1197145326","-118.31902161","4","Hollywood United"
"1-3202626891","2023-01-01T02:15:20.000","Graffiti Removal","Closed","15111 W ARCHWOOD ST, 91405","34.1931637787","-118.462358446","6","Van Nuys"
"1-3202641041","2023-01-01T03:52:19.000","Illegal Dumping Pickup","Closed","8634 N COLUMBUS AVE, 91343","34.2270516168","-118.46534257","6","North Hills East"
"1-3202645821","2023-01-01T04:01:52.000","Illegal Dumping Pickup","Closed","15316 W CHASE ST, 91343","34.2245268228","-118.465914893","6","North Hills East"
"1-3202649391","2023-01-01T04:12:21.000","Bulky Items","Closed","1409 W BRETT PL, 90732","33.7558732771","-118.306493555","15","Northwest San Pedro"
"1-3202635851","2023-01-01T05:26:06.000","Bulky Items","Closed","16329 S FIGUEROA ST, 90248","33.883416367","-118.282802305","15","Harbor Gateway North"
"1-3202654421","2023-01-01T05:31:24.000","Graffiti Removal","Closed","12385 W OSBORNE ST, 91331","34.2609305","-118.402966848","7","Pacoima"
"1-3202650881","2023-01-01T05:36:30.000","Graffiti Removal","Closed","12397 W OSBORNE ST, 91331","34.2605191403","-118.403046397","7","Pacoima"
"1-3202656591","2023-01-01T05:54:11.000","Bulky Items","Closed","6156 W SAN VICENTE BLVD, 90048","34.059401685","-118.365321787","5","Mid-City West"
"1-3202658251","2023-01-01T06:03:03.000","Graffiti Removal","Closed","5159 E LINCOLN AVE, 90042","34.1199071602","-118.203093944","1","Historic Highland Park"
"1-3202647691","2023-01-01T06:06:07.000","Bulky Items","Closed","215 N MALGREN AVE, 90732","33.7452850041","-118.315427038","15","Northwest San Pedro"
"1-3202660391","2023-01-01T06:14:44.000","Graffiti Removal","Closed","WHITSETT AVE AT KLING ST, 91604","34.1557945066","-118.405260631","4","Studio City"
"1-3202655241","2023-01-01T06:18:54.000","Bulky Items","Closed","1310 W CHANDLER ST, 90744","33.7957651444","-118.278584269","15","Wilmington"
"1-3202661961","2023-01-01T06:31:54.000","Bulky Items","Closed","1310 W CHANDLER ST, 90744","33.7957651444","-118.278584269","15","Wilmington"
"1-3202663941","2023-01-01T06:32:53.000","Bulky Items","Closed","12186 N CANYON HILL AVE, 91342","34.2923585706","-118.466313051","7","Sylmar"
"1-3202664661","2023-01-01T06:43:02.000","Bulky Items","Closed","7529 S TRASK AVE, 90293","33.9527981025","-118.443451788","11","Westchester/Playa"
"1-3202661281","2023-01-01T06:48:22.000","Bulky Items","Closed","7067 N FIGUEROA ST, 90042","34.13082296","-118.188887715","14","Eagle Rock"
"1-3202667761","2023-01-01T06:49:54.000","Bulky Items","Closed","5907 E TIPTON WAY, 90042","34.1298469344","-118.190603501","14","Eagle Rock"
"1-3202661861","2023-01-01T06:51:13.000","Bulky Items","Closed","7112 N FIGUEROA ST, 90042","34.1312715341","-118.188744979","14","Eagle Rock"
"1-3202651571","2023-01-01T06:56:34.000","Bulky Items","Closed","19829 W SEPTO ST, 91311","34.2510362154","-118.565467367","12","Chatsworth"
"1-3202675951","2023-01-01T07:06:29.000","Bulky Items","Closed","20144 W RUNNYMEDE ST, 91306","34.2058047491","-118.572088195","3","Winnetka"
"1-3202670511","2023-01-01T07:20:40.000","Graffiti Removal","Closed","820 S GRAND VIEW ST, 90057","34.0552043082","-118.280285092","1","MacArthur Park"
"1-3202671591","2023-01-01T07:26:20.000","Graffiti Removal","Closed","3511 W FLORENCE AVE, 90043","33.9746672703","-118.333253355","8","Park Mesa Heights"
"1-3202680651","2023-01-01T07:33:35.000","Bulky Items","Closed","15239 W MARLIN PL, 91405","34.1976445418","-118.464975669","6","Van Nuys"
"1-3202682351","2023-01-01T07:36:18.000","Homeless Encampment","Pending","5530 N VAN NUYS BLVD, 91401","34.1710974784","-118.448412193","4","Van Nuys"
"1-3202679411","2023-01-01T07:38:45.000","Illegal Dumping Pickup","Pending","5530 N VAN NUYS BLVD, 91401","34.1710974784","-118.448412193","4","Van Nuys"
